No	熟語	意味
617	at (the) sight of ～	～を見て
618	at the mercy of ～	～のなすがままになって
619	as opposed to ～	～ではなく、～とは対照的に
620	by means of ～	～を用いて、～によって
621	by/in virtue of ～	～のおかげで、～によって
622	on/in behalf of ～	～を代表して、～のために
623	on a/the charge of ～	～の容疑［罪］で
624	with/in regard to ～	～に関して（は）
625	in part	一部には、幾分（かは）
626	in turn	徐々に、（立ち代わって）次に（は）
627	in place	あるべき場所に、きちんと整って、用意ができて
628	in practice	実際には
629	in demand	需要があって、必要とされて
630	in the meantime/meanwhile	その間（に）、一方で、話は変わって
631	in all likelihood	十中八九、おおかた
632	at work	①職業で、仕事中で[の] ②作用して、運転［作動］中で[の]
633	at risk	危険な状態で
634	at a loss	途方に暮れて、困って、損をして
635	at first sight	一見したところでは、ひと目で[の]
636	at heart	心の底では、本当は
637	at intervals	時折、あちこちに
638	on the/an average	平均して
639	on a ～ basis	～の基準[原則]で
640	on a ～ scale	～な規模で[の]
641	on display	陳列中で[の]、展示して
642	on the increase	増加中で
643	on (one's) guard	警戒して
644	to ～ extent/degree	～の程度に
645	to one's surprise	～が驚いたことには
646	to the point	要を得た、適切な
647	to make matters/things worse	さらに悪いことに
648	to one's advantage	（人）に都合がよい[よく]、（人）に有利な[に]
649	from ～ on/onward(s)	～から以後は
650	from ～ point of view	～の視点から（は）
651	for sure/certain	確かに
652	under way	（計画などが）進行中で
653	under construction	建築[工事]中で
654	of late	最近、近ごろ
655	of one's own accord/free will	自分の意志で、自発的に
656	without fail	必ず、間違いなく
657	behind the times	時代遅れの[で]
658	beyond description	言葉では表現できないほどの[に]
659	out of breath	息切れして
660	out of character	（その人の）性格に合わない[調和しない]、役に不向きな
661	no matter how/what/when, etc …	どんなに[何が・いつなど]…でも
662	what we call ～	いわゆる～
663	what ～ is	現在の～
664	～ will do	～は役に立つ[用が足りる]
665	may well do	おそらく…するだろう、…するのはもっともだ
666	might (just) as well do	…するのも同じだ、（気は進まないが）～してもよい、（どうせなら）…するほうがいい
667	cannot ～ too …	いくら～してもしすぎることはない
668	the last ～ to do	最も…しそうにない～
669	have A to do with B	ＢとＡの関係がある
670	to tell (you) the truth	実を言えば
671	needless to say	言うまでもなく
672	feel like doing	…したい気がする
673	be used to doing	…することに慣れている
674	cannot help doing	…せずにはいられない、…せざるを得ない
675	come close/near to doing	もう少しで…しそうになる
676	with a view to doing	…する目的で
677	joking/kidding aside	冗談はさておき
678	catch ～ doing	（人）が…しているところを見つける[捕らえる]
679	speaking/talking of ～	～と言えば
680	judging from/by ～	～から判断すると
681	that is (to say)	すなわち、つまり
682	in itself	それ自体では、本来は
683	to oneself	①自分だけ（が使うの）に ②自分自身に、心の中に[で]
684	one after another	次々に
685	none other than ～	ほかならぬ～、まさに～
686	would/had rather do (than ～)	（～するよりも）むしろ…したい
687	as many/much as ～	～もの数[量]の、～と同数[量]の
688	as good as ～	～も同然、ほとんど～
689	as ～ as any	誰[どれ]にも劣らず～
690	all the + 比較級	ますます～、それだけいっそう～
691	that much + 比較級	（口語で）それだけいっそう～
692	much/still less ～	（否定文中で）まして～はない
693	what is more	さらに、おまけに
694	know better (than to do)	（…しないだけの）分別がある、（…するほど）ばかではない
695	Couldn't be better.	最高です、これ以上良い状態はあり得ない
696	worse still/yet	いっそう悪いことに
697	to the best of one's knowledge	（人）の知る限り（では）
698	not ～ (in) the least	まったく～ない
699	to the full/fullest	心ゆくまで、十分に
700	by far	はるかに、ずっと
701	provided (that) …	もし…ならば
702	every/each time …	…するたびに
703	the moment/minute …	…するとすぐに
704	when it comes to ～	～のこととなると、～をする段になると
705	as it is	①（通例、仮定法的な表現の直後で）実際のところは ②（事物が）あるがままの（に）
706	as/so far as ～ be concerned	～に関する限り
707	as follows	次のとおり
708	as is often the case (with～)	（～に関して）よくあることだが
709	as ～ go	一般の～と比べると、～としては
710	if only …	①…でありさえすれば ②（現在・未来の願望を表して）…でさえあればなあ
711	if it were not for ～	もし～がなければ
712	(in) the way …	…から判断すると、…のように、…のやり方で
713	～ to death	死ぬまで～、ひどく～
714	with ease	容易に
715	believe it or not	まさかと思うような話だが
716	not all that ～	それほど～ではない
717	the 比較級 ～, the 比較級 …	～であればあるほど、いっそう…だ
718	(Just) As ～, so …	ちょうど～であるように…だ
719	(It is) No wonder (that) …	…なのは当然だ
720	It happens that …	たまたま…だ、折良く[運悪く]…だ
721	(The) Chances are (that) …	ひょっとしたら[たぶん]…だろう
722	There is no doing	…することはできない
723	not so much A as B	AというよりむしろB
724	hardly ～ when/before …	～するかしないかのうちに…する
725	never do without ～	…すれば必ず～する
726	It goes without saying that …	…なのは言うまでもない
727	(It is) True ～, but …	確かに～だが、…だ
728	It is not long before …	…するのに長くはかからない、間もなく…する
729	It is (high) time (that) …	（とっくに）…してよいころだ
730	no sooner ～ than …	～するやいなや…する
731	It is no use doing	…しても無駄である
732	It is not until ～ that …	～になって初めて…する
733	A is to B what C is to D	AのBに対する関係はCのDに対する関係に等しい
734	not so much as do	…さえしない
735	Nothing is more A than B.	BほどAなものはない
736	the former ～, the latter …	前者は～、後者は…
737	A is one thing, and B is another	AとBとは別の物である
738	All one has to do is (to) do	（人は）はただ…すればよい
739	Suffice (it) to say that …	…と言えば十分である
740	be to do	①（予定・運命）…することになっている ②（義務）…すべきである ③（意図・目的）…するつもりである ④（可能）…できる
741	be forced to do	やむなく…する
742	be supposed to do	…することになっている、（世間で）…と考えられている
743	be to blame (for ～)	（～に対して）責めを負うべきである[責任がある]
744	be entitled to ～	～の資格がある
745	tend to do	…する傾向がある、…しがちである
746	happen to do	偶然…する
747	manage to do	なんとか…する[やり遂げる]
748	can afford to do	（経済的・時間的に）…する余裕がある
749	bother to do	わざわざ…する
750	come to an end/a close	終わる
751	go so far as to do	…しさえする
752	have no (other) choice but to do	…するよりほかに仕方がない
753	spend ～ (in) doing	…して（時間・期間）を過ごす
754	make a point of doing	必ず…するよう努力する、…することを重視する
755	remain to be seen	（結果などは）未定である
756	bring oneself to do	…する気持ちになる
757	take the trouble to do	わざわざ[労を惜しまず]…する
758	leave nothing to be desired	申し分ない
759	in order/so as to do	…するために
760	in that …	…の点で、…のゆえに
761	as/so long as …	（条件・時間的限度）…である限り
762	see (to it) that …	…するように取り計らう[気をつける]
763	so that ～ can do	～が…できるように
764	by the time …	…までに（は）
765	～, so (that) …	～だ、その結果…だ
766	now that …	…である以上、今はもう…なので
767	in case …	①[主に米]もし…ならば ②[主に英]…するといけないから、…に備えて
768	given (that) …	…を考慮すれば、…なので
769	even as …	まさに…するときに
770	if any	もしあるとしても、もしあれば
771	on (the) condition (that) …	…という条件で、…ならば
772	lest ～ (should) …	～が…しないように、～が…するといけないから
773	what with A and B	AやらBやらで
774	A, and B at that	Aだ、その上Bでもある
775	inasmuch/in as much as …	…だから
776	just about	ほぼ、かろうじて
777	go ahead	先に行く、（ためらわず）進む
778	check out ～	①（魅力的なので）～を見てみる、～を調査[点検]する ②（図書館などから）～借り出す
779	hold on	①持ちこたえる、頑張る ②待つ、電話を切らずにいる ③しっかりつかむ
780	hang up ～	（電話を）切る、（衣服など）を掛ける、～を中断する
781	give ～ a try	～を試してみる
782	give ～ a hand	～に手を貸す
783	call back ～	～に折り返し電話する、～に電話をかけ直す、～を呼び戻す
784	from scratch	最初から
785	see ～ off	～を見送る
786	hold one's breath	息を止める、（期待して）息をひそめて待つ
787	at/behind the wheel	（車・船などを）運転して
788	having said that	そうは言ったものの
789	on the dot	（口語で）時間ちょうどに、きっかりに
790	ask ～ a favor	～にお願いをする[頼む]
791	drive at ～	（whatを目的語に）～のつもりである
792	lose (one's) face	面目を失う
793	before one knows it	あっという間に
794	stick around/about	（口語で）（帰らずに）そこらで待つ
795	call it a day	その日の仕事を終える
796	have (a) good command of ～	（外国語など）を自由に使いこなす力がある
797	keep one's fingers crossed	（幸運[成功]を）祈る
798	pay a visit (to ～）	（～を）訪問する
799	serve ～ right	～にとって当然の報いである
800	go to the polls	投票に行く
801	take office	（公職に）就任する
802	turn a blind eye to ～	～を見て見ぬふりをする
803	last but not least	最後になったが
804	know ～ by sight	～の顔を（見て）知っている
805	pull ～'s leg	（口調で）～をからかう[かつぐ]
806	the bottom line	（口語で）要点、（決算書の最下行の）数字、最終結果
807	have/take a look (at ～)	（～を）見る
808	What ～ like?	～はどんなものか
809	What ～ for?	どうして～か何の目的で～か
810	have no idea	見当がつかない
811	could use ～	（口語で）～があればありがたい、～が欲しい
812	How come SV?	どうして…か [= Why(…)?]
813	take one's time	（時間をかけて）ゆっくりやる、自分のペースでやる
814	take it easy	のんびり構える
815	My pleasure.	（お礼の言葉に対して）どういたしまして
816	make oneself understood	自分の言うことを相手に分からせる
817	see much of ～	～によく会う
818	think again	考え直す、考えを変える
819	help oneself to ～	～を自由に取る
820	I'm afraid not.	残念ながらそうではないようです
821	treat A to B	A(人)にB(食事など)をおごる
822	be fed up with ～	～にうんざりしている
823	come to think of it	考えてみると、そういえば
824	think much/highly of ～	～を高く評価する、～を尊敬[尊重]する
825	Legend has it (that) …	伝説によると…ということだ
826	Here we are.	さあ着いた
827	hit it off (with～)	（人と）仲良くなる[意気投合する]
828	watch one's step	足元[言動]に注意する
829	give one's regard to ～	（伝言・手紙などで）～によろしくと伝える
830	You're kidding (me).	冗談でしょうまさか
831	be susceptible to ～	～の影響を受けやすい、～に感染しやすい
832	be at odds (with ～)	（～と）食い違っている、（～と）反目し合っている
833	be committed to ～	～に献身する、～と固く約束する[誓う]
834	be here to stay	定着している
835	be liable to do/to ～	…しがちである/～にかかりやすい
836	be intent on/upon ～	～に懸命[熱心]である
837	be no match for ～	とても～にはかなわない
838	be vulnerable to ～	（病気・誘惑など）に弱い、（非難・攻撃など）を受けやすい
839	be eligible for ～	～の資格がある
840	be worth doing	…する価値がある
841	be out to do	…しようと狙っている
842	be all ears	一心を耳に傾けている
843	be beside oneself (with ～)	（～で）我を忘れる、（～に）夢中である
844	be cut out to be ～	～に向いている[適している]
845	be (all) the rage	（大）流行している
846	account for ～	①～の説明となる、～の理由を説明する ②（割合など）を占める
847	allow for ～	～を可能にする、～を考慮に入れる
848	settle for ～	（不十分ながら）～で我慢する
849	yearn for ～	～を恋しがる、～にあこがれる
850	count for ～	～の価値[重要性]を持つ
851	cope with ～	～をうまく処理する、～に対処する
852	coincide with ～	～と一致する、～と同時に起こる
853	comply with ～	（規則・命令など）に従う[応じる]
854	dispense with ～	～なしですます
855	attend to ～	～を処理する、～に注意を払う、～の世話をする
856	aspire to ～	～を熱望する
857	submit to ～	～に屈する[服従する]
858	consent to ～	～に同意する
859	deal in ～	（商品）を取り扱う、（仕事など）に従事する
860	persist in ～	～に固執する、～をやり直す
861	indulge in ～	思う存分～をする、（快楽など）にふける
862	embark on/upon ～	（事業・計画など）に乗り出す、～を始める
863	dwell on/upon ～	①～を詳しく述べる[書く] ②～をくよくよ[つくづく]考える、～に拘る
864	tell on/upon ～	～に（悪く）影響する、～にこたえる
865	refrain from ～	～を慎む
866	discriminate against ～	～を差別する
867	abide by ～	（法など）に従う、（約束など）を守る
868	work out ～	①（問題などが）うまくいく、～を計画する、～を解決する、～の答を出す ②運動する
869	rule out ～	（可能性など）を排除する、～を認めない
870	single out ～	～を（１つだけ）選び出す
871	pass out	気絶する、酔いつぶれる
872	miss out on ～	（好機など）を逃す、～を取り逃す
873	wind up ～	～を終わりにする、終わる
874	pull up ～	①～を引き抜く[引き上げる]、（いすなど）を引き寄せる②（車などが）止まる、（車など）を止める
875	throw up ～	①～をさっと上げる、～を投げ上げる ②（食べた物を）吐く、～を吐く
876	round up ～	～を寄せ集める、～を検挙[逮捕]する
877	catch on	①（ファッション・考えなどが）人気が出る[流行する] ②理解する、気づく
878	get away with ～	①（罰を受けずに）～をうまくやる ②～を持ち逃げする
879	shy away (from ～)	（～を）避ける[敬遠する]
880	hang around/about/round	ぶらつく、付き合う
881	get down to ～	（仕事・問題など）に本気で取り掛かる
882	let down ～	～を失望させる
883	pull off ～	[口語で]（困難なこと）をやってのける
884	follow through (on/with ～)	（～を）やり遂げる
885	find oneself ～	（気がつくと）～にいる[～である]
886	make do (with～)	（代用品などで）間に合わせる
887	make good ～	①成功する②（約束など）を果たす、（損害など）を償う
888	make (both) ends meet	収入内でやりくりする
889	make believe (that …)	（…という）ふりをする
890	take ～ for granted	～を当然のことと思う
891	take ～ into account	～を考慮に入れる
892	take hold of ^	～をつかむ、～を捕まえる
893	take notice (of～)	（～に）注目する、（～に）気づく
894	take effect	①（法律などが）施行[実施]される ②（薬などが）効く
895	take pains	骨を折る、努力する
896	keep track of ～	（記録するなどして）～を把握する、～の跡をたどる
897	keep ～ company	（人）と一緒にいる、（人）の相手をする、（話など）に付き合う
898	keep abreast of/with ～	（時勢など）に遅れずついて行く
899	let go of ～	～を手放す
900	live up to ～	（期待など）に添う[恥じない行動をする]、（義務など）を果たす
901	look ～ in the eye(s)	～の目を正視する
902	hold true	当てはまる、有効である
903	come to terms with ～	～と折り合いがつく、（あきらめて）～を受け入れる
904	come to light	明るみに出る、現れる
905	come of age	（法律的に）成人になる
906	come in handy	役に立つ
907	fall short of ～	（目標・基準など）に達しない
908	go a long way to do	…するのに大いに役立つ
909	pave the way for/to ～	～への準備をする[道を開く]
910	put ～ to use	～を利用する
911	stand to reason	もっともである、理屈に合う
912	see/do the sights (of～)	（～の）観光をする
913	read between the line	行間を読む、真意をつかむ
914	follow suit	人のまねをする、先例になろう
915	play a joke on ～	～に（悪意のない）いたずらをする
916	get on ～'s nerves	～の神経にさわる
917	get/have the better of ～	～に勝つ、～を出し抜く
918	get/be even with ～	（人）に仕返しをする[恨みを晴らす]
919	hold/keep ～ in check	～を抑える[食い止める]
920	have an eye for ～	～に対する眼識[鑑識力]がある
921	have ～ on one's mind	～を気にしている[心配している]
922	have yet to do	まだ…していない、これから…しなければならない
923	dare to do	思い切って[あえて]…する
924	impose A on/upon B	AをBに課す[押しつける]
925	ascribe A to B	AをBのせいにする
926	bring A home to B	A(ある事柄)をB(人)に痛感させる
927	a variety of ～	①（同一種類のもので）いろいろ[さまざま]な～ ②～の１種[１つの型]
928	a handful of ～	一握りの～、少数[量]の～
929	a host of ～	多数の～
930	scores of ～	多数の～
931	many a/an ～	多くの～、あまたの～
932	quite a few ～	かなりの数の～
933	all manner of ～	あらゆる種類の～
934	(all) on one's own	（すべて）自分1人で、（すべて）独力で
935	at issue	問題の、論争中の[で]
936	at ～'s disposal	（人）の自由になって[使えて]
937	at stake	危うくなった[て]、賭けられた[て]
938	(enough) ～ to go around	全員に行き渡るだけの～
939	every other ～	①１つおきの～、～おきに ②残りのすべての～
940	for a rainy day	（将来）まさかの時[緊急時]に備えて
941	in earnest	本格的に、熱心に
942	in (good) shape	調子が良くて
943	in store (for～)	（～のために）用意して、（～の身に）降りかかろうとして
944	in the works	準備[計画・進行]中で
945	nothing short of ～	まさしく～（の）
946	～ of one's own	自分自身の～
947	of one's (own) doing	（人）が…した
948	on the move	（忙しく）移動中の[で]、活躍中の[で]
949	on the ～ side	～気味で[の]
950	out of hand	①手に負えない ②即座に
951	out of the question	あり得ない、不可能で
952	per capita	一人当たりの[で]
953	right as rain	すっかり健康[正常]で
954	second to none	誰[何]にも劣らない
955	something of a ～	ちょっとした～、ある程度の～
956	upward(s) of ～	～以上（の）
957	regardless of ～	～に（も）かかわらず、～に関係なく
958	in accordance with ～	～に従って、～に応じて
959	in proportion to ～	～に比例して
960	in the wake of ～	～の通過後[跡]に、～の結果として
961	as of ～	～現在で、～の時点で
962	but for ～	～がないならば
963	on ～ terms with …	…と～の関係[間柄]で
964	on the verge of ～	～をしそうで、～の瀬戸際で
965	within walking distance of ～	～から歩いて行けるところに
966	to the effect that …	…という趣旨の[で]
967	a case in point	適例
968	the pros and cons	賛否両論
969	a white elephant	無用の長物
970	the elephant in the room	誰も触れたがらない話題
971	part and parcel (of ～)	（～の）不可分の要素、（～の）最重要部分
972	all along	最初からずっと
973	all too	とても、非常に
974	as such	そういうものとして、それ自体では
975	(at) first hand	直接に、じかに
976	at ～'s convenience	～の都合の良いときに
977	at/on short notice	急に、即座に
978	at will	思いのままに、随意に
979	by and large	概して
980	down the road	（口論で）やがては、将来は
981	early on	早い時期に、早くから
982	for a change	気分転換に、たまには
983	for all I know	よくは知らないが、たぶん
984	for nothing	①無料で ②無駄に
985	if anything	どちらかと言えば、もしあるとしても
986	in a row	連続して
987	in person	（代理人でなく）じかに、自ら
988	in retrospect	（過去を）振り返って（みて）
989	more often than not	普通は、たいてい
990	on second thought	考え直してみて
991	on the face of it	見たところは、表面上は
992	on the spot	①その場で、即座に ②（口語で）窮地に立って、困って
993	once (and) for all	きっぱりと、これを最後に
994	one of these days	そのうちに
995	once upon a time	昔々
996	only too	①（glad, happy, pleased などの前で）とても、大いに ②遺憾[残念]ながら
997	sort/kind of ～	ちょっと、なんとなく
998	such as it is	大したものではないが、こんな程度のものだが、
999	the other way around/round/about	逆に、あべこべに
1000	to date	現在まで（のところ）
