番号,単語,意味
1449,receiver,受話器・受信機
1450,recipe,調理法
1451,recognition,認識・承認
1452,record,記録
1453,recreation,娯楽
1454,refusal,拒絶
1455,region,地域
1456,register,登録
1457,regret,後悔
1458,regular,規則的な
1459,relation,関係
1460,relationship,関係
1461,relative,親戚
1462,relief,安心・救済
1463,religion,宗教
1464,remark,意見・感想
1465,remedy,治療法
1466,repair,修理
1467,repeat,繰り返すこと
1468,reply,返事・答える
1469,report,報告
1470,reporter,記者
1471,republic,共和国
1472,reputation,評判
1473,request,依頼・要望
1474,rescue,救助
1475,research,研究・調査
1476,reservation,予約
1477,respect,尊敬
1478,response,反応・応答
1479,rest,休息・残り
1480,restaurant,レストラン
1481,result,結果
1482,return,戻ること・返却
1483,review,復習・批評
1484,reward,報酬
1485,rhythm,リズム
1486,rice,米
1487,rich,豊かな
1488,riddle,なぞなぞ
1489,ride,乗ること
1490,right,右・権利・正しい
1491,ring,輪・鳴る
1492,rise,上昇
1493,risk,危険・リスク
1494,river,川
1495,road,道路
1496,robot,ロボット
1497,rock,岩・揺れ
1498,rocket,ロケット
1499,rod,棒
1500,role,役割
1501,roll,巻いたもの・転がる
1502,roof,屋根
1503,room,部屋・余地
1504,root,根
1505,rope,縄
1506,rose,バラ
1507,rough,荒い・おおまかな
1508,round,丸い
1509,route,ルート・道筋
1510,row,列・ボートを漕ぐ
1511,royal,王室の
1512,rub,こする
1513,rubber,ゴム
1514,rubbish,ゴミ
1515,rude,失礼な
1516,rule,規則
1517,ruler,定規・支配者
1518,run,走ること
1519,rush,急ぎ
1520,sad,悲しい
1521,safe,安全な・金庫
1522,safety,安全
1523,sail,帆・航海する
1524,sailor,船乗り
1525,salad,サラダ
1526,salary,給料
1527,sale,販売・セール
1528,salt,塩
1529,sample,見本
1530,sand,砂
1531,sandwich,サンドイッチ
1532,satellite,衛星
1533,satisfaction,満足
1534,sauce,ソース
1535,saucer,受け皿
1536,scale,規模・目盛り
1537,scare,怖がらせる
1538,scene,場面・景色
1539,scent,香り
1540,schedule,予定
1541,scholar,学者
1542,scholarship,奨学金
1543,school,学校
1544,science,科学
1545,scientist,科学者
1546,scissors,はさみ
1547,scooter,スクーター
1548,score,得点
1549,screen,画面
1550,screw,ネジ
1551,sea,海
1552,seafood,シーフード
1553,seal,アザラシ・印鑑
1554,search,捜索
1555,season,季節
1556,seat,座席
1557,second,2番目の・秒
1558,secret,秘密
1559,secretary,秘書
1560,section,部分・部門
1561,seed,種
1562,seek,探す・求める
1563,seem,のように見える
1564,select,選ぶ
1565,self,自己
1566,selfish,わがままな
1567,seller,販売者
1568,sense,感覚・意味
1569,sentence,文
1570,separate,切り離された・分ける
1571,serious,深刻な・重大な
1572,servant,使用人
1573,serve,役立つ・食事を出す
1574,service,奉仕・公共事業
1575,session,期間・会議
1576,setting,環境・設定
1577,settle,解決する・落ち着く
1578,several,いくつかの
1579,shade,日陰
1580,shadow,影
1581,shake,振る・揺れる
1582,shame,恥・残念なこと
1583,shape,形
1584,share,共有する・分担
1585,sharp,鋭い
1586,shave,ひげをそる
1587,sheep,羊
1588,sheet,紙などの一枚・シーツ
1589,shelf,棚
1590,shell,貝殻
1591,shelter,避難所
1592,shine,輝く
1593,ship,船・輸送する
1594,shirt,シャツ
1595,shock,衝撃
1596,shoe,靴
1597,shop,店・買い物をする
1598,shore,岸
1599,short,短い・不足している
1600,shot,発砲・シュート
1601,shoulder,肩
1602,shout,叫ぶ
1603,show,見せる・展示
1604,shower,シャワー・夕立
1605,shut,閉める
1606,shy,内気な
1607,sick,病気の
1608,side,側・面
1609,sight,視力・光景
1610,sign,記号・署名する
1611,signal,信号
1612,signature,署名
1613,silence,沈黙
1614,silent,静かな
1615,silk,絹
1616,silly,愚かな
1617,silver,銀
1618,similar,似ている
1619,simple,単純な
1620,since,〜以来
1621,sing,歌う
1622,singer,歌手
1623,single,たった一つの・独身の
1624,sink,沈む・台所の流し
1625,sir,男性への敬称
1626,sister,姉妹
1627,sit,座る
1628,site,用地・場所
1629,situation,状況
1630,size,大きさ
1631,skate,スケートをする
1632,skill,技能
1633,skin,肌
1634,skirt,スカート
1635,sky,空
1636,sleep,眠る
1637,sleepy,眠い
1638,sleeve,袖
1639,slice,薄い一切れ
1640,slide,滑る
1641,slight,わずかな
1642,slim,ほっそりした
1643,slip,滑る
1644,slope,坂
1645,slow,遅い
1646,small,小さい
1647,smart,賢い
1648,smell,匂いがする・匂い
1649,smile,ほほえむ・笑顔
1650,smoke,煙・煙草を吸う
1651,smooth,滑らかな
1652,snack,軽食
1653,snake,蛇
1654,snow,雪
1655,soap,石鹸
1656,soccer,サッカー
1657,social,社会の
1658,society,社会
1659,sock,靴下
1660,soft,柔らかい
1661,software,ソフトウェア
1662,soil,土
1663,soldier,兵士
1664,solid,固体の・固い
1665,solution,解決策
1666,solve,解決する
1667,somebody,誰か
1668,someone,誰か
1669,something,何か
1670,sometimes,時々
1671,somewhere,どこかに
1672,son,息子
1673,song,歌
1674,soon,すぐに
1675,sore,炎症などで痛い
1676,sorry,すまなく思って
1677,sort,種類
1678,soul,魂
1679,sound,音・〜に聞こえる
1680,soup,スープ
1681,source,源・情報源
1682,south,南
1683,southern,南の
1684,space,空間・宇宙
1685,spare,余分な・時間を割く
1686,speak,話す
1687,speaker,話者・スピーカー
1688,special,特別な
1689,species,生物の種
1690,speech,演説
1691,speed,速度
1692,spell,綴る
1693,spend,費やす・過ごす
1694,spice,スパイス
1695,spider,クモ
1696,spirit,精神
1697,spite,悪意
1698,split,割る・分ける
1699,spoil,台無しにする
1700,spoon,スプーン
1701,sport,スポーツ
1702,spot,場所・斑点
1703,spread,広がる・広げる
1704,spring,春・泉
1705,square,正方形・広場
1706,stable,安定した
1707,staff,職員・スタッフ
1708,stage,舞台・段階
1709,stair,階段
1710,stamp,切手・印
1711,stand,立つ・我慢する
1712,standard,標準
1713,star,星・スター
1714,stare,じっと見る
1715,start,始める・出発する
1716,state,状態・国家・述べる
1717,station,駅
1718,statue,像
1719,stay,滞在する
1720,steady,着実な・安定した
1721,steak,ステーキ
1722,steal,盗む
1723,steam,蒸気
1724,steel,鋼鉄
1725,steer,操縦する
1726,step,歩み・段階
1727,stick,棒・突き刺す・固執する
1728,still,まだ・静止した
1729,stomach,胃
1730,stone,石
1731,stop,止まる・止める
1732,storage,貯蔵・保管
1733,store,店・蓄える
1734,storm,嵐
1735,story,物語・階
1736,straight,真っ直ぐな
1737,strange,奇妙な・見知らぬ
1738,stranger,見知らぬ人
1739,strategy,戦略
1740,stream,小川・流れ
1741,street,通り
1742,strength,強さ
1743,stress,強調・ストレス
1744,stretch,伸ばす
1745,strict,厳しい
1746,strike,打つ・ストライキ
1747,string,紐
1748,stroke,一撫で・発作
1749,strong,強い
1750,structure,構造
1751,struggle,もがく・努力する
1752,student,生徒
1753,studio,スタジオ
1754,study,勉強する・研究
1755,stuff,もの・材料
1756,stupid,愚かな
1757,style,様式・スタイル
1758,subject,主題・学科
1759,substance,物質
1760,subway,地下鉄
1761,success,成功
1762,successful,成功した
1763,such,そのような
1764,sudden,突然の
1765,suffer,苦しむ
1766,sugar,砂糖
1767,suggest,提案する
1768,suggestion,提案
1769,suit,スーツ・適する
1770,suitable,適した
1771,sum,合計
1772,summer,夏
1773,sun,太陽
1774,sunlight,日光
1775,sunny,晴れた
1776,sunrise,日の出
1777,sunset,日没
1778,supermarket,スーパーマーケット
1779,supper,夕食
1780,supply,供給する・供給
1781,support,支持する・支持
1782,suppose,と思う・仮定する
1783,sure,確信して
1784,surface,表面
1785,surgery,手術
1786,surprise,驚かせる・驚き
1787,surprising,驚くべき
1788,survey,調査
1789,survive,生き残る
1790,swallow,飲み込む・ツバメ
1791,sweet,甘い
1792,swim,泳ぐ
1793,switch,スイッチ・切り替える
1794,symbol,象徴
1795,system,体系・組織
1796,table,テーブル・表
1797,tail,しっぽ
1798,take,取る・連れて行く
1799,talent,才能
1800,talk,話す
1801,tall,背が高い
1802,tape,テープ
1803,target,目標
1804,task,仕事・課題
1805,taste,味がする・味
1806,tax,税金
1807,taxi,タクシー
1808,tea,茶
1809,teach,教える
1810,teacher,教師
1811,team,チーム
1812,tear,涙・引き裂く
1813,technology,科学技術
1814,teenager,10代の若者
1815,telephone,電話
1816,telescope,望遠鏡
1817,television,テレビ
1818,tell,伝える・教える
1819,temperature,温度・体温
1820,temple,寺
1821,temporary,一時的な
1822,tennis,テニス
1823,tent,テント
1824,term,期間・用語
1825,terrible,ひどい
1826,test,試験
1827,text,本文
1828,textbook,教科書
1829,than,〜よりも
1830,thank,感謝する
1831,theater,劇場
1832,theme,テーマ
1833,theory,理論
1834,thick,厚い・太い
1835,thief,泥棒
1836,thin,薄い・細い
1837,thing,もの・こと
1838,think,思う・考える
1839,thirsty,喉が渇いた
1840,thought,考え
1841,thousand,千
1842,thread,糸
1843,threat,脅威
1844,throat,喉
1845,through,〜を通して
1846,throw,投げる
1847,thumb,親指
1848,thunder,雷
1849,ticket,切符
1850,tie,結ぶ・ネクタイ
1851,tight,きつい
1852,till,〜まで（ずっと）
1853,time,時間
1854,tiny,とても小さい
1855,tip,チップ・助言・先端
1856,tired,疲れた
1857,tiring,疲れさせる
1858,title,題名
1859,toast,トースト
1860,tobacco,タバコ
1861,today,今日
1862,toe,足の指
1863,together,一緒に
1864,toilet,トイレ
1865,tomorrow,明日
1866,tongue,舌・言語
1867,tonight,今夜
1868,tool,道具
1869,tooth,歯
1870,top,頂上・一番の
1871,topic,話題
1872,total,合計の・合計
1873,touch,触れる
1874,tough,たくましい・困難な
1875,tour,旅行・見学
1876,tourist,観光客
1877,toward,〜の方へ
1878,tower,塔
1879,town,町
1880,toy,おもちゃ
1881,track,跡・走路
1882,trade,貿易・交換
1883,tradition,伝統
1884,traditional,伝統的な
1885,traffic,交通
1886,train,列車・訓練する
1887,training,訓練
1888,transfer,移す・乗り換える
1889,translate,翻訳する
1890,transportation,輸送・交通機関
1891,trash,ゴミ
1892,travel,旅行する
1893,traveler,旅行者
1894,treasure,宝物
1895,treat,扱う・治療する・ご馳走する
1896,treatment,治療・取り扱い
1897,tree,木
1898,trick,いたずら・手品
1899,trip,旅行
1900,trouble,心配・迷惑
1901,truck,トラック
1902,TRUE,本当の
1903,trust,信頼する・信頼
1904,truth,真実
1905,try,試みる
1906,tube,管・チューブ
1907,tunnel,トンネル
1908,turn,曲がる・回す・順番
1909,tutor,家庭教師
1910,twice,2回・2倍
1911,twin,双子
1912,type,型・タイプ
1913,typical,典型的な
1914,umbrella,傘
1915,unable,できない
1916,uncle,おじ
1917,under,〜の下に
1918,understand,理解する
1919,understanding,理解
1920,uniform,制服
1921,unique,独特な
1922,unit,単位
1923,unite,結合する
1924,universe,宇宙
1925,university,大学
1926,unknown,知られていない
1927,unless,〜でない限り
1928,unlucky,不運な
1929,until,〜まで（ずっと）
1930,unusual,珍しい
1931,up,上へ
1932,upon,〜の上に
1933,upper,上の方の
1934,upset,狼狽した・ひっくり返す
1935,upstairs,上の階へ
1936,urgent,緊急の
1937,use,使う・使用
1938,used,中古の・慣れている
1939,useful,役に立つ
1940,useless,役に立たない
1941,user,利用者
1942,usual,いつもの
1943,vacation,休暇
1944,valley,谷
1945,valuable,貴重な
1946,value,価値
1947,variety,多様性
1948,various,様々な
1949,vase,花瓶
1950,vast,広大な
1951,vegetable,野菜
1952,vehicle,乗り物
1953,version,版
1954,very,とても
1955,vessel,容器・船
1956,victim,犠牲者
1957,victory,勝利
1958,video,ビデオ
1959,view,眺め・見解
1960,village,村
1961,violence,暴力
1962,violent,暴力的な
1963,violin,バイオリン
1964,visit,訪問する
1965,visitor,訪問者
1966,visual,視覚の
1967,vocabulary,語彙
1968,voice,声
1969,volume,音量・巻
1970,volunteer,ボランティア
1971,vote,投票する・投票
1972,voyage,航海
1973,wait,待つ
1974,waiter,ウェイター
1975,wake,目覚める・起こす
1976,walk,歩く・散歩
1977,wall,壁
1978,wallet,財布
1979,war,戦争
1980,warm,温かい
1981,warning,警告
1982,wash,洗う
1983,waste,無駄にする・廃棄物
1984,watch,見る・腕時計
1985,water,水
1986,wave,波・手を振る
1987,way,方法・道
1988,weak,弱い
1989,wealth,富
1990,wealthy,裕福な
1991,weapon,武器
1992,wear,身に着けている
1993,weather,天気
1994,wedding,結婚式
1995,week,週
1996,weekend,週末
1997,weekly,毎週の
1998,weight,重さ
1999,welcome,歓迎する・ようこそ
2000,well,上手に・健康な
2001,west,西
2002,western,西の・西洋の
2003,wet,濡れた
2004,wheel,車輪
2005,whenever,〜するときはいつでも
2006,wherever,〜するところならどこでも
2007,whether,〜かどうか
2008,while,〜の間
2009,whisper,ささやく
2010,white,白い
2011,whole,全体の
2012,wide,広い
2013,wife,妻
2014,wild,野生の
2015,will,意志・〜だろう
2016,win,勝つ
2017,wind,風
2018,window,窓
2019,wing,翼
2020,winner,勝者
2021,winter,冬
2022,wipe,拭く
2023,wire,針金・ワイヤー
2024,wisdom,知恵
2025,wise,賢い
2026,wish,願う・願い
2027,within,〜以内に
2028,without,〜なしで
2029,witness,目撃者
2030,wolf,狼
2031,woman,女性
2032,wonder,〜かなと思う・驚き
2033,wonderful,素晴らしい
2034,wood,木材・森
2035,wooden,木製の
2036,wool,羊毛
2037,work,働く・仕事・作品
2038,worker,労働者
2039,world,世界
2040,worry,心配する
2041,worse,より悪い（badの比較級）
2042,worst,最悪の（badの最上級）
2043,worth,価値がある
2044,wrap,包む
2045,write,書く
2046,writer,作家
2047,wrong,間違っている
2048,yard,庭・ヤード（単位）
2049,year,年
2050,yellow,黄色い
2051,yesterday,昨日
2052,yet,まだ・もう
2053,young,若い
2054,youth,若さ・青春
2055,zero,ゼロ
2056,zone,地帯・区域
2057,zoo,動物園
2058,ability,能力
2059,abroad,海外へ
2060,absence,欠席・不在
2061,absolute,絶対的な
2062,accept,受け入れる
2063,access,接近・利用権
2064,accident,事故
2065,accompany,同行する
2066,account,口座・報告・説明
2067,accurate,正確な
2068,accuse,責める・告訴する
2069,achieve,達成する
2070,achievement,達成・業績
2071,acid,酸・酸性の
2072,acknowledge,認める
2073,acquire,習得する・手に入れる
2074,across,〜を横切って
2075,act,行動する・演じる
2076,action,行動
2077,active,活動的な
2078,activity,活動
2079,actor,俳優
2080,actress,女優
2081,actual,実際の
2082,actually,実は・実際に
2083,adapt,適応させる
2084,add,加える
2085,addition,追加
2086,additional,追加の
2087,address,住所・演説
2088,adequate,十分な・適切な
2089,adjust,調節する
2090,administration,管理・行政
2091,admire,賞賛する
2092,admission,入場（許可）
2093,admit,認める
2094,adopt,採用する・養子にする
2095,adult,大人
2096,advance,進歩・前進
2097,advanced,進歩した・上級の
2098,advantage,利点
2099,adventure,冒険
2100,advertisement,広告
2101,advice,助言
2102,advise,助言する
2103,adviser,助言者
2104,affair,事柄・事件
2105,affect,影響を与える
2106,afford,〜する余裕がある
2107,afraid,恐れて
2108,afterward,後で
2109,against,〜に反対して
2110,age,年齢・時代
2111,agency,代理店・機関
2112,agent,代理人
2113,aggressive,攻撃的な
2114,ago,〜前に
2115,agree,同意する
2116,agreement,同意・協定
2117,agriculture,農業
2118,ahead,前方へ
2119,aid,援助
2120,aim,目的・狙う
2121,air,空気・空中
2122,aircraft,航空機
2123,airline,航空会社
2124,airplane,飛行機
2125,airport,空港
2126,alarm,警報
2127,album,アルバム
2128,alcohol,アルコール
2129,alike,似ている
2130,alive,生きている
2131,all,すべての
2132,allow,許可する
2133,allowance,小遣い・手当
2134,almost,ほとんど
2135,alone,一人で
2136,along,〜に沿って
2137,already,すでに
2138,also,〜もまた
2139,alter,変える
2140,alternative,代わりの
2141,although,〜だけれども
2142,altogether,完全に・合計で
2143,always,いつも
2144,amaze,驚かせる
2145,amazing,驚くべき
2146,ambition,野心
2147,ambulance,救急車
2148,among,〜の間に
2149,amount,量
2150,amuse,楽しませる
2151,amusement,楽しみ・娯楽
2152,ancient,古代の
2153,anger,怒り
2154,angle,角・角度
2155,angry,怒った
2156,animal,動物
2157,ankle,足首
2158,anniversary,記念日
2159,announce,発表する
2160,announcement,発表
2161,annoy,悩ませる
2162,annual,年1回の
2163,another,もう一つの
2164,answer,答え・答える
2165,anxiety,心配・不安
2166,anxious,心配して・切望して
2167,anybody,誰か・誰でも
2168,anymore,もはや〜ない
2169,anyone,誰か・誰でも
2170,anything,何か・何でも
2171,anyway,とにかく
2172,anywhere,どこかに・どこでも
2173,apart,離れて
2174,apartment,アパート
2175,apologize,謝る
2176,apology,謝罪
2177,apparent,明白な
2178,apparently,見たところでは
2179,appeal,訴える・魅力
2180,appear,現れる・〜のように見える
2181,appearance,外見・出現
2182,apple,リンゴ
2183,application,申し込み・適用
2184,apply,申し込む・適用する
2185,appoint,指名する
2186,appointment,約束・予約
2187,appreciate,感謝する・正しく評価する
2188,approach,近づく・接近
2189,appropriate,適切な
2190,approval,承認
2191,approve,承認する
2192,approximate,おおよその
2193,April,4月
2194,architect,建築家
2195,architecture,建築
2196,area,地域・面積
2197,argue,議論する
2198,argument,議論
2199,arise,生じる
2200,arm,腕
2201,army,陸軍・軍隊
2202,around,〜の周りに
2203,arrange,手配する・並べる
2204,arrangement,手配・準備
2205,arrest,逮捕する
2206,arrival,到着
2207,arrive,到着する
2208,arrow,矢
2209,art,芸術・技術
2210,article,記事・品物
2211,artificial,人工的な
2212,artist,芸術家
2213,artistic,芸術的な
2214,as,〜として・〜なので・〜の時
2215,ash,灰
2216,ashamed,恥じている
2217,aside,脇に
2218,ask,尋ねる・頼む
2219,asleep,眠って
2220,aspect,側面
2221,aspirin,アスピリン（解熱鎮痛剤）
2222,assault,攻撃
2223,assemble,組み立てる・集める
2224,assembly,集会・組み立て
2225,assign,割り当てる
2226,assignment,宿題・割り当て
2227,assist,助ける
2228,assistance,援助
2229,assistant,助手
2230,associate,関連づける
2231,association,協会・連想
2232,assume,仮定する・思い込む
2233,assumption,仮定
2234,assurance,確信・保証
2235,assure,確信させる・保証する
2236,astonish,驚かせる
2237,astronaut,宇宙飛行士
2238,astronomy,天文学
2239,at,〜に・〜で
2240,athlete,競技者・スポーツマン
2241,atmosphere,雰囲気・大気
2242,attach,取り付ける
2243,attack,攻撃する・攻撃
2244,attempt,試みる・試み
2245,attend,出席する
2246,attention,注意
2247,attitude,態度
2248,attract,引きつける
2249,attraction,魅力・呼び物
2250,attractive,魅力的な
2251,audience,観客
2252,August,8月
2253,aunt,おば
2254,author,著者
2255,authority,権威・当局
2256,automatic,自動の
2257,autumn,秋
2258,available,利用可能な
2259,avenue,大通り
2260,average,平均の・平均
2261,avoid,避ける
2262,award,賞・授与する
2263,aware,気づいて
2264,away,離れて
2265,awful,ひどい
2266,baby,赤ちゃん
2267,back,後ろの・背中
2268,background,背景
2269,backward,後ろへ
2270,bacon,ベーコン
2271,bad,悪い
2272,badly,ひどく・下手に
2273,bag,袋・かばん
2274,baggage,手荷物
2275,bake,パンなどを焼く
2276,balance,バランス・残高
2277,ball,ボール
2278,balloon,風船
2279,banana,バナナ
2280,band,バンド・帯
2281,bank,銀行・堤防
2282,banker,銀行家
2283,bankrupt,破産した
2284,bar,棒・酒場
2285,barber,理髪師
2286,bare,裸の・ありのままの
2287,bargain,買い得品・契約
2288,bark,犬が吠える
2289,barrier,障壁
2290,base,土台・基地
2291,baseball,野球
2292,basic,基本的な
2293,basically,基本的には
2294,basis,基礎
2295,basket,かご
2296,basketball,バスケットボール
2297,bat,バット・コウモリ
2298,bath,入浴
2299,bathroom,浴室・トイレ
2300,battery,電池
2301,battle,戦い
2302,beach,海岸
2303,beam,光線・梁
2304,bean,豆
2305,bear,耐える・熊
2306,beard,あごひげ
2307,beast,野獣
2308,beat,打つ・打ち負かす
2309,beautiful,美しい
2310,beauty,美しさ
2311,because,〜なので
2312,become,〜になる
2313,bed,ベッド
2314,bedroom,寝室
2315,beef,牛肉
2316,beer,ビール
2317,before,〜の前に
2318,beg,乞う・頼む
2319,begin,始まる
2320,beginner,初心者
2321,beginning,始まり
2322,behave,ふるまう
2323,behavior,ふるまい
2324,behind,〜の後ろに
2325,being,存在・生き物
2326,belief,信念・信じること
2327,believe,信じる
2328,bell,鐘
2329,belong,属する
2330,below,〜の下に
2331,belt,ベルト
2332,bench,ベンチ
2333,bend,曲げる
2334,beneath,〜の下に
2335,benefit,利益・恩恵
2336,berry,ベリー（実）
2337,beside,〜のそばに
2338,besides,〜に加えて・その上
2339,best,最高の
2340,bet,賭ける
2341,better,より良い
2342,between,〜の間に（2つ）
2343,beyond,〜を越えて
2344,bicycle,自転車
2345,bid,入札する
2346,big,大きい
2347,bill,請求書・法案・紙幣
2348,billion,10億
2349,bin,ゴミ箱
2350,biology,生物学
2351,bird,鳥
2352,birth,誕生
2353,birthday,誕生日
2354,biscuit,ビスケット
2355,bishop,司教
2356,bit,少し
2357,bite,噛む
2358,bitter,苦い
2359,black,黒い
2360,blade,刃
2361,blame,責める
2362,blank,空白の
2363,blanket,毛布
2364,blast,爆発
2365,bleed,出血する
2366,blend,混ぜ合わせる
2367,bless,祝福する
2368,blind,盲目の・日よけ
2369,block,塊・ふさぐ
2370,blood,血
2371,bloom,花が咲く・開花
2372,blossom,（果樹の）花
2373,blow,吹く・打撃
2374,blue,青い
2375,board,板・会議・乗り込む
2376,boat,ボート
2377,body,体
2378,boil,沸騰させる
2379,bold,大胆な
2380,bomb,爆弾
2381,bond,絆・債券
2382,bone,骨
2383,book,本・予約する
2384,bookstore,書店
2385,boot,ブーツ
2386,border,境界・国境
2387,bore,退屈させる
2388,bored,退屈した
2389,boring,退屈な
2390,born,生まれて
2391,borrow,借りる
2392,boss,上司
2393,both,両方の
2394,bother,悩ませる
2395,bottle,瓶
2396,bottom,底
2397,bounce,弾む
2398,bound,〜行きの・縛られた
2399,boundary,境界線
2400,bow,お辞儀する・弓
2401,bowl,鉢・ボウル
2402,box,箱
2403,boy,男の子
2404,brain,脳
2405,brake,ブレーキ
2406,branch,枝・支店
2407,brand,ブランド
2408,brave,勇敢な
2409,bread,パン
2410,break,壊す・休憩
2411,breakfast,朝食
2412,breast,胸
2413,breath,呼吸
2414,breathe,呼吸する
2415,breed,繁殖させる・品種
2416,breeze,そよ風
2417,brick,レンガ
2418,bridge,橋
2419,brief,簡潔な
2420,bright,明るい・賢い
2421,brilliant,素晴らしい・輝かしい
2422,bring,持ってくる
2423,broad,広い
2424,broadcast,放送する
2425,brother,兄弟
2426,brown,茶色い
2427,brush,ブラシ・磨く
2428,bubble,泡
2429,bucket,バケツ
2430,budget,予算
2431,build,建てる
2432,builder,建築業者
2433,building,建物
2434,bulb,電球
2435,bulk,大部分・かさ
2436,bullet,弾丸
2437,bunch,房・束
2438,bundle,束
2439,burden,重荷
2440,burn,燃える
2441,burst,破裂する
2442,bury,埋める
2443,bus,バス
2444,bush,茂み
2445,business,ビジネス・仕事
2446,busy,忙しい
2447,but,しかし
2448,butcher,肉屋
2449,butter,バター
2450,butterfly,蝶
2451,button,ボタン
2452,buy,買う
2453,buyer,買い手
2454,by,〜のそばに・〜によって
2455,cab,タクシー
2456,cabin,小屋・客室
2457,cabinet,戸棚・内閣
2458,cable,ケーブル
2459,cage,かご・檻
2460,cake,ケーキ
2461,calculate,計算する
2462,calendar,カレンダー
2463,call,呼ぶ・電話する
2464,calm,穏やかな
2465,camera,カメラ
2466,camp,キャンプ
2467,campaign,キャンペーン・運動
2468,campus,キャンパス
2469,can,〜できる・缶
2470,canal,運河
2471,cancel,取り消す
2472,cancer,がん
2473,candidate,候補者
2474,candle,ろうそく
2475,candy,キャンディー
2476,canvas,帆布・キャンバス
2477,cap,帽子・ふた
2478,capability,能力
2479,capable,能力がある
2480,capacity,収容能力・定員
2481,capital,首都・資本・大文字
2482,captain,船長・主将
2483,capture,捕らえる
2484,car,車
2485,card,カード・名刺
2486,care,世話・注意
2487,career,経歴・職業
2488,careful,注意深い
2489,careless,不注意な
2490,cargo,積荷
2491,carpenter,大工
2492,carpet,じゅうたん
2493,carriage,馬車・客車
2494,carrier,運送業者・通信会社
2495,carrot,人参
2496,carry,運ぶ
2497,cart,荷車
2498,cartoon,漫画
2499,carve,彫る
2500,case,場合・事件・箱
2501,cash,現金
2502,cashier,レジ係
2503,cassette,カセット
2504,cast,投げる・配役
2505,castle,城
2506,casual,形式ばらない
2507,cat,猫
2508,catalog,カタログ
2509,catch,捕まえる
2510,category,部類・カテゴリー
2511,cattle,家畜の牛
2512,cause,原因・引き起こす
2513,caution,用心・警告
